Country,Date,Open,High,Low,Close
EE,2008-06,9.81698,20.017,7.485,14.0478
EE,2008-07,14.0478,23.282,11.382,17.1219
EE,2008-08,17.1219,24.483,7.668,16.0464
EE,2008-09,16.0464,18.093,5.334,10.7048
EE,2008-10,10.7048,12.441,5.236,8.57686
EE,2008-11,8.57686,9.8,-4.309,2.71142
EE,2008-12,2.71142,3.807,-8.494,-1.27506
EE,2009-01,-1.27506,2.989,-18.595,-3.83925
EE,2009-02,-3.83925,1.289,-18.404,-5.9757
EE,2009-03,-5.9757,4.105,-8.547,-2.09181
EE,2009-04,-2.09181,16.205,-2.259,4.06016
EE,2009-05,4.06016,22.375,1.729,10.2837
EE,2009-06,10.2837,23.582,5.788,13.6397
EE,2009-07,13.6397,23.271,8.857,17.1454
EE,2009-08,17.1454,22.496,10.416,16.4981
EE,2009-09,16.4981,20.991,5.398,13.7047
EE,2009-10,13.7047,11.355,-0.869,4.89735
EE,2009-11,4.89735,6.475,-4.934,1.59625
EE,2009-12,1.59625,4.193,-15.617,-4.62823
EE,2010-01,-4.62823,-2.743,-23.918,-12.5508
EE,2010-02,-12.5508,0.295,-17.281,-9.53047
EE,2010-03,-9.53047,3.524,-14.543,-3.21112
EE,2010-04,-3.21112,12.368,-1.288,3.88368
EE,2010-05,3.88368,21.184,0.274,10.769
EE,2010-06,10.769,22.953,6.267,13.8463
EE,2010-07,13.8463,28.425,13.418,21.6702
EE,2010-08,21.6702,28.882,7.998,18.6898
EE,2010-09,18.6898,18.115,5.95,11.8874
EE,2010-10,11.8874,12.186,-0.393,5.04523
EE,2010-11,5.04523,8.241,-15.006,0.181083
EE,2010-12,0.181083,-0.896,-15.909,-7.79111
EE,2011-01,-7.79111,0.816,-14.535,-5.14726
EE,2011-02,-5.14726,1.026,-28.218,-11.0586
EE,2011-03,-11.0586,1.827,-11.195,-2.79627
EE,2011-04,-2.79627,14.355,-6.001,3.81269
EE,2011-05,3.81269,21.386,0.53,9.5167
EE,2011-06,9.5167,24.64,9.454,16.2451
EE,2011-07,16.2451,27.601,13.078,20.2743
EE,2011-08,20.2743,23.604,11.797,17.4302
EE,2011-09,17.4302,20.345,8.174,13.538
EE,2011-10,13.538,15.53,2.743,8.06556
EE,2011-11,8.06556,9.809,-2.492,4.3771
EE,2011-12,4.3771,7.669,-1.99,1.57335
EE,2012-01,1.57335,2.963,-20.079,-5.6649
EE,2012-02,-5.6649,0.723,-27.045,-10.0258
EE,2012-03,-10.0258,5.659,-15.735,-1.28173
EE,2012-04,-1.28173,12.921,-3.402,3.64446
EE,2012-05,3.64446,19.071,2.43,10.3518
EE,2012-06,10.3518,18.789,5.277,13.1291
EE,2012-07,13.1291,26.849,10.931,17.6988
EE,2012-08,17.6988,23.347,8.764,15.7908
EE,2012-09,15.7908,20.277,7.9,12.6231
EE,2012-10,12.6231,14.26,-2.017,6.57237
EE,2012-11,6.57237,8.035,-7.8,2.73391
EE,2012-12,2.73391,1.446,-18.15,-7.35985
EE,2013-01,-7.35985,1.737,-19.301,-6.67797
EE,2013-02,-6.67797,0.344,-13.245,-4.99158
EE,2013-03,-4.99158,0.617,-16.482,-7.71899
EE,2013-04,-7.71899,9.536,-8.032,1.68144
EE,2013-05,1.68144,22.138,0.966,12.1212
EE,2013-06,12.1212,25.456,10.071,17.0182
EE,2013-07,17.0182,24.657,12.331,18.1085
EE,2013-08,18.1085,26.512,10.752,17.7136
EE,2013-09,17.7136,20.082,3.14,12.5151
EE,2013-10,12.5151,13.83,-0.929,7.40202
EE,2013-11,7.40202,8.653,-3.324,3.99812
EE,2013-12,3.99812,5.016,-7.461,1.05895
EE,2014-01,1.05895,3.786,-17.967,-6.65292
EE,2014-02,-6.65292,2.648,-10.94,-2.04499
EE,2014-03,-2.04499,8.379,-5.568,0.837634
EE,2014-04,0.837634,15.413,-2.745,4.85507
EE,2014-05,4.85507,24.672,0.622,10.4994
EE,2014-06,10.4994,24.172,6.319,13.406
EE,2014-07,13.406,28.167,10.588,19.6215
EE,2014-08,19.6215,28.479,9.159,17.8486
EE,2014-09,17.8486,21.121,3.877,13.2956
EE,2014-10,13.2956,13.766,-4.377,5.85665
EE,2014-11,5.85665,8.678,-9.566,1.15727
EE,2014-12,1.15727,3.599,-11.238,-1.2513
EE,2015-01,-1.2513,3.516,-10.733,-2.38837
EE,2015-02,-2.38837,2.644,-14.777,-1.77402
EE,2015-03,-1.77402,8.796,-4.353,1.26194
EE,2015-04,1.26194,12.612,-0.839,4.17289
EE,2015-05,4.17289,16.121,1.103,9.21131
EE,2015-06,9.21131,20.477,6.608,13.4465
EE,2015-07,13.4465,23.513,11.299,16.2897
EE,2015-08,16.2897,25.979,10.196,17.8587
EE,2015-09,17.8587,20.568,6.854,13.565
EE,2015-10,13.565,15.931,-0.006,6.13432
EE,2015-11,6.13432,11.173,-2.204,4.08452
EE,2015-12,4.08452,8.044,-7.865,2.32008
EE,2016-01,2.32008,3.077,-16.36,-7.72963
EE,2016-02,-7.72963,3.452,-8.235,-0.650101
EE,2016-03,-0.650101,8.706,-10.226,-1.09132
EE,2016-04,-1.09132,12.145,-0.972,4.43058
EE,2016-05,4.43058,22.464,3.755,12.6811
EE,2016-06,12.6811,24.933,7.051,15.3901
EE,2016-07,15.3901,24.734,11.677,18.0885
EE,2016-08,18.0885,23.801,10.366,16.6915
EE,2016-09,16.6915,20.374,8.035,13.4955
EE,2016-10,13.4955,13.919,-0.698,4.60371
EE,2016-11,4.60371,4.29,-6.988,-0.914871
EE,2016-12,-0.914871,4.973,-7.201,-0.371905
EE,2017-01,-0.371905,3.581,-14.005,-3.0038
EE,2017-02,-3.0038,2.473,-18.277,-3.82959
EE,2017-03,-3.82959,5.963,-6.19,0.225884
EE,2017-04,0.225884,11.293,-2.798,2.29085
EE,2017-05,2.29085,19.879,-0.494,8.61602
EE,2017-06,8.61602,21.476,4.763,13.3556
EE,2017-07,13.3556,22.935,9.209,16.1308
EE,2017-08,16.1308,25.661,9.692,16.9626
EE,2017-09,16.9626,18.369,6.868,12.378
EE,2017-10,12.378,13.105,-1.835,5.7675
EE,2017-11,5.7675,6.635,-1.354,2.50774
EE,2017-12,2.50774,3.28,-6.499,-0.540417
EE,2018-01,-0.540417,2.748,-11.952,-3.14733
EE,2018-02,-3.14733,-0.326,-18.245,-7.43639
EE,2018-03,-7.43639,1.813,-16.276,-4.15971
EE,2018-04,-4.15971,14.688,-3.531,4.64715
EE,2018-05,4.64715,22.654,4.196,13.5153
EE,2018-06,13.5153,22.685,6.383,15.2641
EE,2018-07,15.2641,28.027,10.949,20.4308
EE,2018-08,20.4308,28.459,11.833,18.938
EE,2018-09,18.938,24.427,5.052,14.5869
EE,2018-10,14.5869,16.168,-1.209,7.52755
EE,2018-11,7.52755,9.179,-5.15,2.90884
EE,2018-12,2.90884,2.819,-10.513,-2.84298
EE,2019-01,-2.84298,1.974,-16.305,-5.53762
EE,2019-02,-5.53762,2.825,-10.367,-1.3567
EE,2019-03,-1.3567,6.878,-12.427,-0.347909
EE,2019-04,-0.347909,18.229,-2.423,5.56141
EE,2019-05,5.56141,22.611,-0.42,10.1137
EE,2019-06,10.1137,26.19,6.487,17.0727
EE,2019-07,17.0727,28.707,9.632,17.0518
EE,2019-08,17.0518,24.954,10.816,17.2648
EE,2019-09,17.2648,23.832,4.169,12.8357
EE,2019-10,12.8357,12.585,-0.632,7.16731
EE,2019-11,7.16731,9.395,-4.719,2.23172
EE,2019-12,2.23172,5.793,-4.399,1.51978
ES,1980-01,0,17.18,0.532,6.91176
ES,1980-02,6.91176,18.116,3.092,9.19955
ES,1980-03,9.19955,23.139,2.461,9.9759
ES,1980-04,9.9759,24.214,4.309,11.7779
ES,1980-05,11.7779,23.792,7.809,14.7223
ES,1980-06,14.7223,28.899,11.71,19.4176
ES,1980-07,19.4176,32.719,13.045,21.8965
ES,1980-08,21.8965,34.318,15.878,24.3213
ES,1980-09,24.3213,30.248,14.446,21.8074
ES,1980-10,21.8074,28.177,6.057,15.5128
ES,1980-11,15.5128,21.334,1.065,10.1701
ES,1980-12,10.1701,15.233,-0.31,6.36674
ES,1981-01,6.36674,15.789,-0.816,6.84778
ES,1981-02,6.84778,16.911,0.263,7.16228
ES,1981-03,7.16228,22.359,2.73,11.9626
ES,1981-04,11.9626,20.072,4.692,12.1725
ES,1981-05,12.1725,25.263,7.724,15.25
ES,1981-06,15.25,33.435,11.02,21.1277
ES,1981-07,21.1277,33.657,13.669,22.3278
ES,1981-08,22.3278,31.238,16.255,23.1817
ES,1981-09,23.1817,29.752,9.971,20.8261
ES,1981-10,20.8261,26.527,7.119,16.3806
ES,1981-11,16.3806,22.854,5.702,13.1096
ES,1981-12,13.1096,16.958,2.281,9.25404
ES,1982-01,9.25404,17.996,1.097,8.74269
ES,1982-02,8.74269,17.121,2.343,8.58646
ES,1982-03,8.58646,18.456,2.651,10.0911
ES,1982-04,10.0911,21.18,4.884,12.5761
ES,1982-05,12.5761,25.354,6.027,16.1806
ES,1982-06,16.1806,30.495,13.166,21.0431
ES,1982-07,21.0431,33.944,15.16,23.675
ES,1982-08,23.675,32.41,15.919,22.9517
ES,1982-09,22.9517,27.926,12.137,20.1536
ES,1982-10,20.1536,24.161,6.966,14.8308
ES,1982-11,14.8308,20.103,3.039,10.7207
ES,1982-12,10.7207,14.826,2.103,7.54006
ES,1983-01,7.54006,17.379,0.723,7.59463
ES,1983-02,7.59463,16.771,-1.598,6.68241
ES,1983-03,6.68241,20.684,3.59,11.138
ES,1983-04,11.138,22.659,3.721,11.932
ES,1983-05,11.932,23.452,6.677,14.7785
ES,1983-06,14.7785,30.541,12.049,20.9046
ES,1983-07,20.9046,32.985,15.417,23.9148
ES,1983-08,23.9148,29.604,15.945,22.3036
ES,1983-09,22.3036,32.235,13.901,21.7683
ES,1983-10,21.7683,27.139,7.258,17.1088
ES,1983-11,17.1088,19.508,7.935,13.1622
ES,1983-12,13.1622,16.785,2.358,8.63348
ES,1984-01,8.63348,14.253,0.161,7.22821
ES,1984-02,7.22821,16.876,0.984,7.14271
ES,1984-03,7.14271,17.276,0.159,8.04689
ES,1984-04,8.04689,21.788,5.383,13.6348
ES,1984-05,13.6348,19.835,6.576,12.5825
ES,1984-06,12.5825,28.133,8.694,18.8981
ES,1984-07,18.8981,33.462,15.556,23.7084
ES,1984-08,23.7084,31.053,14.921,22.4216
ES,1984-09,22.4216,32.212,10.605,19.9577
